id,carat,cut,color,clarity,depth,table,x,y,z,price
670,3.04,Very Good,I,SI2,63.2,59,9.14,9.07,5.75,15354
1073,3.01,Fair,I,SI2,,56,8.99,8.94,5.9,18242
2908,3.01,Premium,F,I1,62.2,56,9.24,9.13,5.73,9925
7879,3.01,Ideal,J,SI2,61.7,58,9.25,9.2,5.69,16037
8206,3.01,Fair,I,SI2,65.8,56,8.99,8.94,5.9,18242
8574,3.5,Ideal,H,I1,62.8,57,9.65,9.59,6.03,12587
9638,3,Premium,I,SI2,60.7,59,9.3,9.14,5.6,16970
12759,3.4,Fair,D,I1,66.8,52,9.42,9.34,6.27,15964
13053,3.01,Premium,I,I1,62.7,58,9.1,8.97,5.67,8040
15081,3.51,Premium,J,VS2,62.5,59,9.66,9.63,6.03,18701
15489,3.01,Premium,I,SI2,60.2,59,9.36,9.31,5.62,18242
16539,3,Good,I,I1,57,64,9.38,9.31,5.33,10863
16873,3.01,Good,I,SI2,63.9,60,9.06,9.01,5.77,18242
17077,3,Premium,G,I1,59.7,60,9.42,9.26,5.58,13203
19762,3.04,Premium,I,SI2,59.3,60,9.51,9.46,5.62,18559
26870,3.24,Premium,H,I1,62.1,58,9.44,9.4,5.85,12300
